0,0,start
216,24,che.bmp,1
264,24,ma.bmp,2
312,24,xiang.bmp,3
360,24,shi.bmp,4
408,24,jiang.bmp,5
456,24,shi.bmp,4
504,24,xiang.bmp,3
552,24,ma.bmp,2
597,24,che.bmp,1
216,72,null,-1
264,72,null,-1
312,72,null,-1
360,72,null,-1
408,72,null,-1
456,72,null,-1
504,72,null,-1
552,72,null,-1
597,72,null,-1
216,120,null,-1
264,120,pao.bmp,6
312,120,null,-1
360,120,null,-1
408,120,null,-1
456,120,null,-1
504,120,null,-1
552,120,pao.bmp,6
597,120,null,-1
216,168,bin.bmp,7
264,168,null,-1
312,168,bin.bmp,7
360,168,null,-1
408,168,bin.bmp,7
456,168,null,-1
504,168,bin.bmp,7
552,168,null,-1
597,168,bin.bmp,7
216,216,null,-1
264,216,null,-1
312,216,null,-1
360,216,null,-1
408,216,null,-1
456,216,null,-1
504,216,null,-1
552,216,null,-1
597,216,null,-1
216,264,null,-1
264,264,null,-1
312,264,null,-1
360,264,null,-1
408,264,null,-1
456,264,null,-1
504,264,null,-1
552,264,null,-1
597,264,null,-1
216,312,bin.bmp,7
264,312,null,-1
312,312,bin.bmp,7
360,312,null,-1
408,312,bin.bmp,7
456,312,null,-1
504,312,bin.bmp,7
552,312,null,-1
597,312,bin.bmp,7
216,360,null,-1
264,360,pao.bmp,6
312,360,null,-1
360,360,null,-1
408,360,null,-1
456,360,null,-1
504,360,null,-1
552,360,pao.bmp,6
597,360,null,-1
216,408,null,-1
264,408,null,-1
312,408,null,-1
360,408,null,-1
408,408,null,-1
456,408,null,-1
504,408,null,-1
552,408,null,-1
597,408,null,-1
216,456,che.bmp,1
264,456,ma.bmp,2
312,456,xiang.bmp,3
360,456,shi.bmp,4
408,456,jiang.bmp,5
456,456,shi.bmp,4
504,456,xiang.bmp,3
552,456,ma.bmp,2
597,456,che.bmp,1
